referral_type,district_of_medical_institution_bg,district_of_medical_institution_en,count_referrals
Направление за медицинска експертиза / Referral for Medical Expertise,Сливен,Sliven,4747
Направление за медицинска експертиза / Referral for Medical Expertise,Враца,Vratsa,4709
"Направление за ТЕЛК / Referral for Work Incapacity
",Благоевград,Blagoevgrad,4569
"Направление за ТЕЛК / Referral for Work Incapacity
",Плевен,Pleven,4270
"Направление за ТЕЛК / Referral for Work Incapacity
",Бургас,Burgas,4178
Направление за медицинска експертиза / Referral for Medical Expertise,Смолян,Smolyan,3709
Направление за медицинска експертиза / Referral for Medical Expertise,Кърджали,Kardzhali,3633
"Направление за ТЕЛК / Referral for Work Incapacity
",Хасково,Haskovo,3632
Направление за медицинска експертиза / Referral for Medical Expertise,Ловеч,Lovech,3621
"Направление за ТЕЛК / Referral for Work Incapacity
",Пазарджик,Pazardzhik,3327
"Направление за ТЕЛК / Referral for Work Incapacity
",Стара Загора,Stara Zagora,3017
Направление за медицинска експертиза / Referral for Medical Expertise,Разград,Razgrad,2953
Направление за медицинска експертиза / Referral for Medical Expertise,Силистра,Silistra,2781
"Направление за ТЕЛК / Referral for Work Incapacity
",Варна,Varna,2682
Направление за медицинска експертиза / Referral for Medical Expertise,Ямбол,Yambol,2623
"Направление за ТЕЛК / Referral for Work Incapacity
",Велико Търново,Veliko Tarnovo,2584
Направление за медицинска експертиза / Referral for Medical Expertise,Видин,Vidin,2407
"Направление за ТЕЛК / Referral for Work Incapacity
",Ловеч,Lovech,2402
"Направление за ТЕЛК / Referral for Work Incapacity
",Сливен,Sliven,2315
"Направление за ТЕЛК / Referral for Work Incapacity
",Русе,Ruse,2227
"Направление за ТЕЛК / Referral for Work Incapacity
",София Област,Sofia,2168
Направление за медицинска експертиза / Referral for Medical Expertise,Шумен,Shumen,2167
"Направление за ТЕЛК / Referral for Work Incapacity
",Монтана,Montana,1989
Направление за медицинска експертиза / Referral for Medical Expertise,Търговище,Targovishte,1857
"Направление за ТЕЛК / Referral for Work Incapacity
",Добрич,Dobrich,1780
"Направление за ТЕЛК / Referral for Work Incapacity
",Видин,Vidin,1749
"Направление за ТЕЛК / Referral for Work Incapacity
",Габрово,Gabrovo,1522
"Направление за ТЕЛК / Referral for Work Incapacity
",Шумен,Shumen,1420
"Направление за ТЕЛК / Referral for Work Incapacity
",Перник,Pernik,1221
"Направление за ТЕЛК / Referral for Work Incapacity
",Ямбол,Yambol,1131
"Направление за ТЕЛК / Referral for Work Incapacity
",Разград,Razgrad,853
"Направление за ТЕЛК / Referral for Work Incapacity
",Кюстендил,Kyustendil,723
"Направление за ТЕЛК / Referral for Work Incapacity
",Враца,Vratsa,659
"Направление за ТЕЛК / Referral for Work Incapacity
",Смолян,Smolyan,416
"Направление за ТЕЛК / Referral for Work Incapacity
",Търговище,Targovishte,143
"Направление за ТЕЛК / Referral for Work Incapacity
",Силистра,Silistra,141
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Непосочено,Unspecified,8
